,Ticker,Datetime,Dividends,Close
31,TEPP11,2022-09,0.49,84.82
32,TEPP11,2022-10,0.5,82.15
33,TEPP11,2022-11,0.5,75.1
34,TEPP11,2022-12,0.51,67.01
0,TGAR11,2020-02,0.7,136.0
1,TGAR11,2020-03,0.82,108.99
2,TGAR11,2020-04,0.8,105.8
3,TGAR11,2020-05,1.25,115.6
4,TGAR11,2020-06,1.23,133.06
5,TGAR11,2020-07,1.14,129.5
6,TGAR11,2020-08,1.09,134.9
7,TGAR11,2020-09,1.0,132.15
8,TGAR11,2020-10,1.1,133.32
9,TGAR11,2020-11,1.12,135.3
10,TGAR11,2020-12,1.36,135.13
11,TGAR11,2021-01,1.2,144.03
12,TGAR11,2021-02,1.15,143.09
13,TGAR11,2021-03,1.3,136.81
14,TGAR11,2021-04,1.26,140.0
15,TGAR11,2021-05,1.16,138.6
16,TGAR11,2021-06,1.11,131.9
17,TGAR11,2021-07,1.08,133.2
18,TGAR11,2021-08,1.1,128.19
19,TGAR11,2021-09,1.11,127.98
20,TGAR11,2021-10,1.2,124.08
21,TGAR11,2021-11,1.22,115.5
22,TGAR11,2021-12,1.23,121.19
23,TGAR11,2022-01,1.16,122.9
24,TGAR11,2022-02,1.22,112.1
25,TGAR11,2022-03,1.27,116.84
26,TGAR11,2022-04,1.44,119.93
27,TGAR11,2022-05,1.53,118.4
28,TGAR11,2022-06,1.57,115.6
29,TGAR11,2022-07,1.58,120.4
30,TGAR11,2022-08,1.59,126.0
31,TGAR11,2022-09,1.59,125.71
32,TGAR11,2022-10,1.55,126.0
33,TGAR11,2022-11,1.5,121.93
34,TGAR11,2022-12,1.3,122.0
0,TRNT11,2020-02,0.59,243.938
1,TRNT11,2020-03,0.2,234.4598
2,TRNT11,2020-04,0.55,204.5288
3,TRNT11,2020-05,0.57,185.5724
4,TRNT11,2020-06,0.58,185.6323
5,TRNT11,2020-07,0.37,178.5884
6,TRNT11,2020-08,0.45,181.5817
7,TRNT11,2020-09,0.68,183.0881
8,TRNT11,2020-10,0.41,181.7313
9,TRNT11,2020-11,0.4,172.6322
10,TRNT11,2020-12,0.63,194.0
11,TRNT11,2021-01,0.45,167.22
12,TRNT11,2021-02,0.38,160.0
13,TRNT11,2021-03,0.31,169.66
14,TRNT11,2021-04,0.4,148.39
15,TRNT11,2021-05,0.4,145.08
16,TRNT11,2021-06,0.81,141.98
17,TRNT11,2021-07,0.29,128.0
18,TRNT11,2021-08,0.26,121.99
19,TRNT11,2021-09,0.3,118.6
20,TRNT11,2021-10,0.35,116.9
21,TRNT11,2021-11,0.35,104.0
22,TRNT11,2021-12,0.6,119.0
23,TRNT11,2022-01,0.37,109.35
24,TRNT11,2022-02,0.39,109.99
25,TRNT11,2022-03,0.38,109.0
26,TRNT11,2022-04,0.45,106.8
27,TRNT11,2022-05,0.4,112.16
28,TRNT11,2022-06,0.51,112.07
29,TRNT11,2022-07,0.3,113.05
30,TRNT11,2022-08,0.28,116.5
31,TRNT11,2022-09,0.29,111.0
32,TRNT11,2022-10,0.32,120.0
33,TRNT11,2022-11,0.52,125.0
34,TRNT11,2022-12,0.34,125.0
0,TRXF11,2020-02,0.57,117.0
1,TRXF11,2020-03,0.67,96.0
2,TRXF11,2020-04,0.67,94.0
3,TRXF11,2020-05,0.67,95.2
4,TRXF11,2020-06,0.67,102.5
5,TRXF11,2020-07,0.66,104.67
6,TRXF11,2020-08,0.34,101.5
7,TRXF11,2020-09,0.45,100.8
8,TRXF11,2020-10,0.7,99.95
9,TRXF11,2020-11,0.7,101.44
10,TRXF11,2020-12,0.7,101.9
11,TRXF11,2021-01,0.7,106.6
12,TRXF11,2021-02,0.7,111.89
13,TRXF11,2021-03,0.7,107.5
14,TRXF11,2021-04,0.7,107.5
15,TRXF11,2021-05,0.7,105.48
16,TRXF11,2021-06,0.7,103.5
